23.703703703703706, 76.43203883495146, [145, 665, 515, 321, 192]
21.48148148148148, 75.87893081761007, [152, 658, 507, 301, 174]
18.518518518518523, 73.86818181818182, [151, 659, 492, 272, 150]
19.135802469135797, 75.95419847328245, [149, 661, 488, 264, 155]
19.135802469135797, 78.29465648854962, [155, 655, 486, 260, 155]
23.950617283950614, 77.28896103896103, [142, 668, 515, 320, 194]
21.23456790123457, 76.3025078369906, [146, 664, 509, 300, 172]
19.259259259259252, 75.3914373088685, [142, 668, 498, 276, 156]
18.88888888888889, 76.49467275494673, [146, 664, 487, 264, 153]
18.88888888888889, 78.77473363774733, [156, 654, 483, 260, 153]
23.827160493827158, 78.52025931928688, [138, 672, 517, 321, 193]
20.493827160493826, 78.1195652173913, [147, 663, 509, 294, 166]
19.012345679012345, 77.20274390243902, [144, 666, 492, 269, 154]
18.765432098765434, 78.5030395136778, [151, 659, 479, 259, 152]
18.765432098765434, 80.52431610942249, [157, 653, 484, 255, 152]
22.5925925925926, 78.6347687400319, [141, 669, 506, 314, 183]
19.999999999999996, 79.50771604938272, [150, 660, 503, 288, 162]
18.395061728395056, 78.81694402420575, [153, 657, 494, 269, 149]
17.901234567901238, 79.84210526315789, [155, 655, 471, 251, 145]
18.148148148148145, 81.92006033182504, [152, 658, 474, 255, 147]
22.469135802469133, 80.13216560509554, [136, 674, 509, 313, 182]
18.518518518518523, 80.02121212121212, [152, 658, 502, 278, 150]
17.53086419753086, 79.75748502994011, [157, 653, 486, 262, 142]
17.160493827160494, 80.44113263785395, [157, 653, 481, 253, 139]
17.53086419753086, 82.74850299401197, [155, 655, 478, 255, 142]
