(-65.66666666666666, 85.65555555555555)
(-67.64197530864197, 91.93884892086331)
(-68.50617283950618, 97.34103019538188)
(-69.0, 102.30511463844798)
(-68.87654320987654, 102.7826855123675)
(-68.50617283950618, 103.63232682060391)
(-65.2962962962963, 87.20297951582867)
(-67.64197530864197, 93.31834532374101)
(-69.0, 98.75837742504409)
(-69.24691358024691, 104.65905096660808)
(-69.0, 104.22751322751323)
(-68.50617283950618, 103.82238010657194)
(-67.39506172839506, 84.12093862815884)
(-69.24691358024691, 91.75043936731107)
(-69.86419753086419, 95.90766550522648)
(-70.11111111111111, 102.41319444444444)
(-70.35802469135803, 104.37543252595155)
(-70.60493827160494, 103.32931034482759)
(-68.38271604938272, 81.99466192170819)
(-70.35802469135803, 90.52595155709342)
(-70.48148148148148, 93.32987910189983)
(-70.60493827160494, 99.53965517241379)
(-71.09876543209876, 103.48972602739725)
(-70.60493827160494, 104.71379310344828)
(-69.24691358024691, 78.82776801405976)
(-71.22222222222221, 86.15726495726496)
(-71.96296296296296, 89.83756345177665)
(-72.20987654320987, 95.3018549747049)
(-72.70370370370371, 99.74874371859296)
(-72.33333333333333, 101.3097643097643)
(-68.75308641975309, 78.3858407079646)
(-71.22222222222221, 84.0991452991453)
(-72.4567901234568, 86.90756302521008)
(-72.95061728395062, 91.45075125208682)
(-73.69135802469135, 97.9702479338843)
(-73.32098765432099, 100.30564784053156)
(-69.24691358024691, 77.10193321616872)
